"Time (s)","Illuminance (lx)"
2.584126064E2,8.200000000E1
2.586125986E2,8.100000000E1
2.590125986E2,8.000000000E1
2.592125978E2,7.900000000E1
2.596125893E2,7.800000000E1
2.604125978E2,7.700000000E1
2.612126064E2,7.800000000E1
2.634126066E2,7.900000000E1
2.638125988E2,8.000000000E1
2.658125906E2,7.900000000E1
2.660125908E2,8.000000000E1
2.760125981E2,7.900000000E1
2.762126064E2,8.000000000E1
2.766126061E2,7.900000000E1
2.768126066E2,8.000000000E1
2.770125978E2,7.900000000E1
2.772125986E2,8.000000000E1
2.806126064E2,8.100000000E1
2.808125999E2,8.000000000E1
2.814125912E2,7.900000000E1
2.816126145E2,8.000000000E1
2.818125980E2,8.100000000E1
2.828125981E2,8.000000000E1
2.836125978E2,8.100000000E1
2.854126299E2,8.000000000E1
2.870126332E2,8.100000000E1
2.880126091E2,8.000000000E1
2.888126091E2,8.100000000E1
2.894126013E2,8.000000000E1
2.904126091E2,8.100000000E1
2.906126091E2,8.000000000E1
2.912126093E2,7.900000000E1
2.916126010E2,8.000000000E1
2.920126007E2,8.200000000E1
2.924126009E2,8.100000000E1
2.930126018E2,8.000000000E1
2.944126012E2,8.100000000E1
2.964126015E2,8.000000000E1
2.968126093E2,8.100000000E1
2.970125869E2,8.000000000E1
2.972125849E2,8.100000000E1
2.974126013E2,8.000000000E1
2.976126012E2,7.900000000E1
2.986126028E2,8.000000000E1
3.016126015E2,8.100000000E1
3.020126018E2,8.000000000E1
3.032126012E2,7.900000000E1
3.036126015E2,8.000000000E1
3.040126407E2,7.900000000E1
3.050126091E2,8.000000000E1
3.058126007E2,7.900000000E1
3.066125935E2,8.000000000E1
3.102126010E2,7.900000000E1
3.116126028E2,8.000000000E1
3.132126010E2,7.900000000E1
3.134126044E2,8.000000000E1
3.138126015E2,7.900000000E1
3.146126018E2,8.000000000E1
3.148126010E2,7.900000000E1
3.154126010E2,8.000000000E1
3.158125929E2,7.900000000E1
3.160126031E2,8.000000000E1
3.162126013E2,7.900000000E1
3.166126525E2,8.000000000E1
3.176126461E2,7.900000000E1
3.202126005E2,8.000000000E1
3.210126015E2,7.900000000E1
3.228126025E2,8.000000000E1
3.232126015E2,7.900000000E1
3.238126012E2,7.800000000E1
3.240126015E2,7.700000000E1
3.258126015E2,7.800000000E1
3.262126015E2,7.700000000E1
3.264126096E2,7.800000000E1
3.266126016E2,7.700000000E1
3.268126093E2,7.800000000E1
3.272126008E2,7.700000000E1
3.282125943E2,7.400000000E1
3.284126093E2,7.000000000E1
3.286126012E2,6.600000000E1
3.288126018E2,6.500000000E1
3.292126018E2,6.600000000E1
3.294126010E2,6.900000000E1
3.296126018E2,7.200000000E1
3.300126013E2,7.100000000E1
3.302126007E2,6.900000000E1
3.304126015E2,6.800000000E1
3.308126023E2,6.900000000E1
3.310126007E2,7.000000000E1
3.316126197E2,7.100000000E1
3.318126431E2,7.200000000E1
3.320126031E2,7.300000000E1
3.322126007E2,7.400000000E1
3.324126018E2,7.600000000E1
3.326126010E2,7.700000000E1
3.328126016E2,7.800000000E1
3.354126096E2,7.700000000E1
3.362126008E2,7.600000000E1
3.364126015E2,7.500000000E1
3.372126015E2,7.400000000E1
3.376126015E2,7.300000000E1
3.388126091E2,7.200000000E1
3.394126008E2,7.100000000E1
3.412126017E2,7.200000000E1
3.414126009E2,7.100000000E1
3.424126018E2,7.000000000E1
3.426126007E2,6.900000000E1
3.436126018E2,6.700000000E1
3.438126012E2,6.100000000E1
3.440125949E2,5.600000000E1
3.442125968E2,5.500000000E1
3.446126010E2,5.400000000E1
3.448126010E2,5.300000000E1
3.450126010E2,5.200000000E1
3.454126015E2,4.900000000E1
3.456126010E2,4.600000000E1
3.458126012E2,4.500000000E1
3.460126013E2,4.400000000E1
3.462126016E2,4.100000000E1
3.464126015E2,3.800000000E1
3.466126012E2,3.700000000E1
3.468126007E2,3.800000000E1
3.470126015E2,4.200000000E1
3.472126016E2,4.600000000E1
3.476126022E2,4.800000000E1
3.478126364E2,4.900000000E1
3.480126455E2,5.200000000E1
3.482126499E2,5.300000000E1
3.486126099E2,5.400000000E1
3.492126099E2,5.300000000E1
3.496126016E2,5.400000000E1
3.498126097E2,5.600000000E1
3.500126102E2,5.700000000E1
3.502126097E2,5.800000000E1
3.508126100E2,5.900000000E1
3.510126013E2,5.200000000E1
3.512126097E2,3.100000000E1
3.514126013E2,1.700000000E1
3.516126099E2,1.500000000E1
3.518126099E2,1.400000000E1
3.538126133E2,1.200000000E1
3.540126018E2,1.100000000E1
3.552126018E2,1.200000000E1
3.554126021E2,1.300000000E1
3.556126097E2,1.400000000E1
3.558126024E2,1.500000000E1
3.562126021E2,1.600000000E1
3.572126018E2,1.400000000E1
3.574126021E2,8.000000000E0
3.576126016E2,5.000000000E0
3.578126013E2,4.000000000E0
3.590126573E2,3.000000000E0
3.594126235E2,4.000000000E0
3.612126024E2,5.000000000E0
3.628126097E2,4.000000000E0
3.630125945E2,3.000000000E0
3.632126037E2,2.000000000E0
3.648126021E2,1.000000000E0
3.650126095E2,2.000000000E0
3.684126057E2,1.000000000E0
3.692125951E2,2.000000000E0
3.694125918E2,1.000000000E0
3.696126016E2,2.000000000E0
3.698126099E2,1.000000000E0
3.718126018E2,2.000000000E0
3.744126016E2,1.000000000E0
3.786130197E2,0.000000000E0
3.790126023E2,1.000000000E0
3.846126016E2,2.000000000E0
3.850125843E2,1.000000000E0
3.872126016E2,2.000000000E0
3.876126097E2,1.000000000E0
3.878126016E2,2.000000000E0
3.880125964E2,1.400000000E1
3.882126035E2,5.500000000E1
3.884126016E2,8.400000000E1
3.888126014E2,8.500000000E1
3.896126099E2,8.400000000E1
3.900126013E2,8.500000000E1
3.912125959E2,8.600000000E1
3.916126013E2,8.700000000E1
3.920126021E2,8.800000000E1
3.922126014E2,8.900000000E1
3.930126016E2,8.800000000E1
